[2026-05-22 11:17:29.583] 框架 | 公告 | \uD83D\uDE01 欢迎使用本软件，仅供学习测试，请勿用于商业用途、违法内容等
[2026-05-22 11:17:29.583] 框架 | 公告 | ● 官网、开发文档、购买授权、常见问题：https://www.cnblogs.com/daen/p/-/qxpro
[2026-05-22 11:17:29.583] 框架 | 公告 | ● 最新版本、SDK、DEMO下载：https://daen.lanzoue.com/b01hsujsj
[2026-05-22 11:17:29.583] 框架 | 公告 | ● 如果登录微信后，微信管理不显示，请查看【官网】的【常见问题】
[2026-05-22 11:17:29.972] 框架 | 提示 | [HTTPAPI服务端]已启动，端口[7777]，回调地址[]
[2026-05-22 11:17:29.978] 框架 | 提示 | [WebSocket服务端]已启动，端口[7778]
[2026-05-22 11:17:33.558] 框架 | 提示 | 已尝试启动微信，请等待微信窗口拉起...如果长时间不见微信窗口，请查看官网常见问题解决
[2026-05-22 11:17:34.973] 框架 | 提示 | 微信启动成功[HaZKUMv3N1Z9Hk7o.dll]，端口[7860]，等待登录...
[2026-05-22 11:17:35.208] 框架 | 提示 | 注入成功，端口[7860]，pid[30132]
[2026-05-22 11:17:45.553] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:17:45.570] 框架 | 账号上线 | 微信账号上线，昵称[Muke～]，wxid[wxid_nwrplpmxrwyq22]，端口[7860]，授权到期时间[2026-04-08 13:24:39]
[2026-05-22 11:17:45.570] 框架 | 提示 | 将在10秒后开始处理事件和消息……
[2026-05-22 11:20:42.341] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:26:53.272] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:36:44.467] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:38:05.885] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:39:03.909] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:40:37.184] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:43:54.828] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:47:23.177] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:53:00.382] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:57:35.094] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:58:07.340] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 11:58:32.743] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:00:27.597] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:05:38.915] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:08:13.215] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:09:33.750] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:09:33.750] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:12:53.020] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:23:05.447] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:29:49.640] 框架 | 提示 | Muke～(wxid_nwrplpmxrwyq22)的授权已到期，请续费后使用，到期时间：2026-04-08 13:24:39
[2026-05-22 12:30:59.545] 框架 | 账号下线 | 微信账号下线，wxid[wxid_nwrplpmxrwyq22]，端口[7860]
